worker,assignment,subject,ord,t,true_t,rt,event,piece,move_num,move,instance,optlen,diffoptlen,initial,restart,surrender,error_made,error_tomake,mild_error,mild_error_tomake,severe_error,severe_error_tomake,nonerror_tomake,decision,further,consec_error,consec_error_closer,consec_error_further,consec_error_cross,max_optlen,min_diffoptlen,max_diffoptlen,range_diffoptlen,max_consec_error,max_consec_error_closer,max_consec_error_further,max_consec_error_cross,node_human_static,max_node,edge_human_static,en_human_static,enp_human_static,e2n_human_static,scc_human_static,maxscc_human_static,cycle_human_static,maxcycle_human_static,cincycle_human_static,ninc_human_static,pnc_human_static,depth_human_static,ndepth_human_static,gcluster_human_static,lcluster_human_static,,,mobility,mobility_reduced,tie_mobred,mobinc,consec_mobility_reduced,,max_mobility,max_consec_mobility_reduced
ARWF605I7RWM7,3AZHRG4CU5SYU12YRVPCSZALW5003R,ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,9,1.52E+12,1.52E+12,0,start,NA,0,NA,prb11647,7,0,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,35,-15,19,34,23,21,18,23,7,9,9,1.29,1.8,11.57,2,2,2,2,0,4,0.57,4,2,0,0,,,13,0,0,0,0,,21,10
ARWF605I7RWM7,3AZHRG4CU5SYU12YRVPCSZALW5003R,ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,11,1.52E+12,1.52E+12,4037,drag_end,7,0,18,prb11647,6,-1,7,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,,,,,,,,,6,,7,1.17,1.4,8.17,1,4,3,2,0,4,0.67,3,1,0,0,,,12,1,0,0,1,,,
ARWF605I7RWM7,3AZHRG4CU5SYU12YRVPCSZALW5003R,ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,13,1.52E+12,1.52E+12,3095,drag_end,0,1,24,prb11647,6,-1,7,0,0,1,1,1,1,0,0,0,2,0,1,1,0,0,,,,,,,,,6,,7,1.17,1.4,8.17,1,4,3,2,0,4,0.67,3,1,0,0,,,10,1,0,0,2,,,
ARWF605I7RWM7,3AZHRG4CU5SYU12YRVPCSZALW5003R,ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,15,1.52E+12,1.52E+12,2113,drag_end,5,2,26,prb11647,6,-1,7,0,0,1,0,1,0,0,0,1,1,0,2,2,0,0,,,,,,,,,6,,6,1,1.5,6,1,3,2,2,0,3,0.5,3,1,0,0,,,11,0,0,1,0,,,
ARWF605I7RWM7,3AZHRG4CU5SYU12YRVPCSZALW5003R,ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,17,1.52E+12,1.52E+12,704,drag_end,6,3,30,prb11647,5,-2,7,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,,,,,,,,,5,,5,1,1.25,5,1,2,1,2,0,2,0.4,4,1,0,0,,,11,0,1,0,0,,,
ARWF605I7RWM7,3AZHRG4CU5SYU12YRVPCSZALW5003R,ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,19,1.52E+12,1.52E+12,1247,drag_end,2,4,28,prb11647,5,-2,7,0,0,1,1,1,0,0,1,0,3,0,1,1,0,1,,,,,,,,,5,,6,1.2,1.5,7.2,1,2,1,2,0,2,0.4,5,1,0.5,0.34,,,6,1,0,0,1,,,
ARWF605I7RWM7,3AZHRG4CU5SYU12YRVPCSZALW5003R,ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,21,1.52E+12,1.52E+12,2208,drag_end,7,5,21,prb11647,6,-1,7,0,0,1,1,0,0,1,1,0,3,0,2,2,0,2,,,,,,,,,5,,6,1.2,1.5,7.2,1,2,1,2,0,2,0.4,5,1,0.5,0.34,,,6,0,1,0,0,,,
ARWF605I7RWM7,3AZHRG4CU5SYU12YRVPCSZALW5003R,ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,25,1.52E+12,1.52E+12,2624,drag_end,6,6,31,prb11647,7,0,7,0,0,1,1,0,0,1,1,0,3,0,3,3,0,3,,,,,,,,,5,,6,1.2,1.5,7.2,1,2,1,2,0,2,0.4,5,1,0.5,0.34,,,6,0,1,0,0,,,
ARWF605I7RWM7,3AZHRG4CU5SYU12YRVPCSZALW5003R,ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,27,1.52E+12,1.52E+12,808,drag_end,1,7,12,prb11647,8,1,7,0,0,1,1,0,1,1,0,0,2,1,4,0,1,4,,,,,,,,,5,,6,1.2,1.5,7.2,1,2,1,2,0,2,0.4,5,1,0.5,0.34,,,6,0,1,0,0,,,
ARWF605I7RWM7,3AZHRG4CU5SYU12YRVPCSZALW5003R,ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,31,1.52E+12,1.52E+12,2760,drag_end,7,8,19,prb11647,8,1,7,0,0,1,0,1,0,0,0,1,1,1,5,0,2,5,,,,,,,,,5,,6,1.2,1.5,7.2,1,2,1,2,0,2,0.4,5,1,0.5,0.34,,,6,0,1,0,0,,,
